,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
174,0.7248,0.4397,13.6299,0.0139,1.4514,144.1751,BIC,TwoStageBetween,141-TwoStageWithin,,
175,,,14.1543,-0.0206,1.4289,132.1512,BIC,TwoStageWithin,141-TwoStageWithin,0.4118,0.8103
176,0.5496,0.809,16.4443,0.0049,1.1886,183.4493,BIC,TwoStageBetween,142-TwoStageBetween,,
177,,,15.2586,0.016,1.2183,201.1516,BIC,TwoStageWithin,142-TwoStageBetween,0.8154,1.0
178,0.5743,0.5588,13.97,0.0182,1.151,246.2002,BIC,TwoStageBetween,142-TwoStageWithin,,
179,,,14.6158,0.0175,1.1275,230.381,BIC,TwoStageWithin,142-TwoStageWithin,0.7254,1.0
180,0.4901,0.2008,9.9271,0.0316,1.071,336.2999,BIC,TwoStageBetween,143-TwoStageBetween,,
181,,,7.7525,-0.0092,1.0823,345.2469,BIC,TwoStageWithin,143-TwoStageBetween,1.0223,1.0
182,0.4646,1.0,4.6367,-0.0147,1.0354,394.7214,BIC,TwoStageBetween,143-TwoStageWithin,,
183,,,7.0372,0.0594,1.0099,373.0991,BIC,TwoStageWithin,143-TwoStageWithin,1.1615,1.0
184,0.3837,0.1782,30.0,-0.0235,1.7518,49.5062,BIC,TwoStageBetween,144-TwoStageBetween,,
185,,,23.8342,-0.0179,1.79,67.8576,BIC,TwoStageWithin,144-TwoStageBetween,1.4596,1.0
186,0.4727,0.4858,23.0124,-0.0344,1.7344,53.3958,BIC,TwoStageBetween,144-TwoStageWithin,,
187,,,24.9058,0.0167,1.7169,45.4948,BIC,TwoStageWithin,144-TwoStageWithin,1.1673,1.0
188,0.5916,1.0,10.2608,-0.0007,1.2355,234.4103,BIC,TwoStageBetween,145-TwoStageBetween,,
189,,,12.3974,0.02,1.2481,242.6783,BIC,TwoStageWithin,145-TwoStageBetween,0.6179,0.5438
190,0.6078,0.6708,14.5026,0.0039,1.2098,204.9839,BIC,TwoStageBetween,145-TwoStageWithin,,
191,,,15.9909,0.0051,1.1874,191.0216,BIC,TwoStageWithin,145-TwoStageWithin,0.6556,1.0
192,0.6692,1.0,10.212,-0.005,1.0964,217.5646,BIC,TwoStageBetween,146-TwoStageBetween,,
193,,,9.8877,0.014,1.1197,231.9491,BIC,TwoStageWithin,146-TwoStageBetween,0.4458,1.0
194,0.6778,1.0,9.4729,-0.0048,1.1483,240.986,BIC,TwoStageBetween,146-TwoStageWithin,,
195,,,10.8251,0.0415,1.1292,228.5049,BIC,TwoStageWithin,146-TwoStageWithin,0.4397,1.0
196,0.6009,0.6512,25.5959,0.0064,1.8304,3.2953,BIC,TwoStageBetween,147-TwoStageBetween,,
197,,,25.5699,0.0297,1.8329,4.3144,BIC,TwoStageWithin,147-TwoStageBetween,0.625,0.7688
198,0.6643,1.0,15.8987,0.0323,1.7189,40.7217,BIC,TwoStageBetween,147-TwoStageWithin,,
199,,,26.5183,0.0032,1.7039,34.0105,BIC,TwoStageWithin,147-TwoStageWithin,0.5168,0.5695
200,0.6923,1.0,11.8663,-0.0587,1.3156,176.6309,BIC,TwoStageBetween,148-TwoStageBetween,,
201,,,11.6534,-0.0183,1.3325,187.0231,BIC,TwoStageWithin,148-TwoStageBetween,0.4011,1.0
202,0.6514,0.9921,13.538,0.0145,1.2964,143.1134,BIC,TwoStageBetween,148-TwoStageWithin,,
203,,,15.8105,-0.0077,1.2721,130.0284,BIC,TwoStageWithin,148-TwoStageWithin,0.4773,1.0
204,0.8809,1.0,13.1666,0.0246,1.3912,-16.659,BIC,TwoStageBetween,149-TwoStageBetween,,
205,,,14.0763,-0.0284,1.4447,3.5204,BIC,TwoStageWithin,149-TwoStageBetween,0.1528,0.9393
206,1.0,0.4631,14.5653,-0.0001,1.559,-27.3259,BIC,TwoStageBetween,149-TwoStageWithin,,
207,,,14.1712,-0.014,1.5048,-46.6777,BIC,TwoStageWithin,149-TwoStageWithin,0.0021,0.8265
208,0.4911,0.4757,11.1772,-0.0045,1.3212,228.4534,BIC,TwoStageBetween,150-TwoStageBetween,,
209,,,11.4028,-0.0169,1.3267,231.8148,BIC,TwoStageWithin,150-TwoStageBetween,1.0134,0.6908
210,0.4527,1.0,7.1548,-0.0092,1.3424,237.0546,BIC,TwoStageBetween,150-TwoStageWithin,,
211,,,13.0304,0.042,1.3156,220.3581,BIC,TwoStageWithin,150-TwoStageWithin,1.1311,0.7273
212,0.6415,0.8621,11.3501,-0.0225,1.1357,233.0656,BIC,TwoStageBetween,151-TwoStageBetween,,
213,,,10.5057,0.0266,1.1482,241.3464,BIC,TwoStageWithin,151-TwoStageBetween,0.5324,1.0
214,0.6285,0.8685,10.6538,-0.0192,1.1347,241.8927,BIC,TwoStageBetween,151-TwoStageWithin,,
215,,,12.2661,0.0139,1.1253,235.8248,BIC,TwoStageWithin,151-TwoStageWithin,0.4959,0.6597
216,0.4724,1.0,10.7712,0.0145,1.1831,238.8444,BIC,TwoStageBetween,153-TwoStageBetween,,
217,,,10.456,0.0022,1.2213,263.9283,BIC,TwoStageWithin,153-TwoStageBetween,1.0763,1.0
218,0.4909,0.4642,11.4229,0.0174,1.1616,294.9147,BIC,TwoStageBetween,153-TwoStageWithin,,
219,,,13.5125,0.0243,1.1365,276.7385,BIC,TwoStageWithin,153-TwoStageWithin,1.0372,0.923
220,1.0,1.0,4.9966,0.0494,0.852,174.0004,BIC,TwoStageBetween,154-TwoStageBetween,,
221,,,5.1955,0.0417,0.8854,192.2133,BIC,TwoStageWithin,154-TwoStageBetween,0.0,1.0
222,0.9376,1.0,4.6435,0.0149,0.8954,238.3831,BIC,TwoStageBetween,154-TwoStageWithin,,
223,,,5.217,0.0712,0.8459,208.6166,BIC,TwoStageWithin,154-TwoStageWithin,0.0228,1.0
224,0.6951,0.1791,17.8658,-0.0063,1.2154,178.2021,BIC,TwoStageBetween,155-TwoStageBetween,,
225,,,14.2043,-0.008,1.2155,178.2656,BIC,TwoStageWithin,155-TwoStageBetween,0.4236,0.6815
226,0.8409,0.3569,12.2081,-0.0345,1.2228,173.8212,BIC,TwoStageBetween,155-TwoStageWithin,,
227,,,9.0568,0.0515,1.2076,164.8186,BIC,TwoStageWithin,155-TwoStageWithin,0.1781,1.0
228,0.6002,0.9089,7.0855,-0.0129,0.9155,353.3856,BIC,TwoStageBetween,156-TwoStageBetween,,
229,,,5.8121,0.0358,0.9329,366.7136,BIC,TwoStageWithin,156-TwoStageBetween,0.5497,0.9707
230,0.5809,0.5122,8.3556,-0.0159,0.931,371.0186,BIC,TwoStageBetween,156-TwoStageWithin,,
231,,,10.9628,0.046,0.8827,333.0724,BIC,TwoStageWithin,156-TwoStageWithin,0.6757,0.429
232,1.0,0.2642,12.7846,0.0071,0.8904,17.057,BIC,TwoStageBetween,157-TwoStageBetween,,
233,,,8.4097,0.0199,0.9457,40.9824,BIC,TwoStageWithin,157-TwoStageBetween,0.0,1.0
234,1.0,0.7635,7.7597,-0.01,0.9913,84.7222,BIC,TwoStageBetween,157-TwoStageWithin,,
235,,,7.8302,0.0521,0.9685,74.3229,BIC,TwoStageWithin,157-TwoStageWithin,0.0,1.0
