,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
1|subject_id[84],-0.309,0.232,-0.761,0.147,0.007,0.005,1236.0,1236.0,1237.0,3677.0,1.0,
1|subject_id[85],-0.556,0.242,-1.019,-0.068,0.007,0.005,1231.0,1231.0,1229.0,3212.0,1.0,
1|subject_id[86],-0.696,0.275,-1.226,-0.162,0.007,0.005,1636.0,1636.0,1630.0,4273.0,1.0,
1|subject_id[87],-0.911,0.271,-1.455,-0.397,0.007,0.005,1530.0,1530.0,1525.0,3259.0,1.0,
1|subject_id[88],-0.055,0.275,-0.586,0.496,0.007,0.005,1586.0,1586.0,1585.0,4818.0,1.0,
1|subject_id[89],0.309,0.262,-0.178,0.858,0.008,0.005,1219.0,1219.0,1219.0,2961.0,1.0,
1|subject_id[90],-0.357,0.272,-0.882,0.179,0.007,0.005,1494.0,1494.0,1493.0,3506.0,1.0,
1|subject_id[91],-0.171,0.247,-0.656,0.313,0.007,0.005,1344.0,1344.0,1344.0,3479.0,1.0,
1|subject_id[92],-0.154,0.245,-0.62,0.329,0.007,0.005,1325.0,1325.0,1327.0,3525.0,1.0,
1|subject_id[93],2.557,0.418,1.76,3.391,0.007,0.005,3386.0,3386.0,3412.0,5765.0,1.0,
1|subject_id[94],-0.11,0.288,-0.681,0.444,0.007,0.005,1625.0,1625.0,1624.0,3264.0,1.0,
1|subject_id[95],0.854,0.276,0.309,1.385,0.006,0.004,2008.0,2008.0,2008.0,4767.0,1.0,
1|subject_id[96],0.316,0.258,-0.193,0.823,0.007,0.005,1407.0,1407.0,1412.0,3986.0,1.0,
1|subject_id[97],-0.763,0.314,-1.36,-0.138,0.007,0.005,1921.0,1921.0,1919.0,4010.0,1.0,
1|subject_id[98],-1.54,0.266,-2.093,-1.054,0.007,0.005,1306.0,1306.0,1304.0,4315.0,1.0,
1|subject_id[99],0.181,0.227,-0.247,0.638,0.007,0.005,996.0,996.0,999.0,2756.0,1.0,
1|subject_id[100],-0.75,0.248,-1.229,-0.261,0.007,0.005,1193.0,1193.0,1189.0,2443.0,1.0,
1|subject_id[101],2.865,0.467,1.967,3.778,0.008,0.006,3579.0,3579.0,3524.0,5516.0,1.0,
1|subject_id[102],-1.486,0.296,-2.086,-0.921,0.007,0.005,1686.0,1686.0,1681.0,4764.0,1.0,
1|subject_id[103],0.623,0.309,0.022,1.226,0.007,0.005,1927.0,1897.0,1939.0,4610.0,1.0,
1|subject_id[104],-1.651,0.27,-2.184,-1.121,0.007,0.005,1421.0,1421.0,1421.0,3325.0,1.0,
1|subject_id[105],0.385,0.301,-0.188,0.986,0.008,0.005,1521.0,1521.0,1525.0,3485.0,1.0,
1|subject_id[106],-0.694,0.343,-1.382,-0.042,0.007,0.005,2139.0,2139.0,2142.0,5355.0,1.0,
1|subject_id[107],0.722,0.32,0.084,1.339,0.006,0.005,2449.0,2449.0,2440.0,5084.0,1.0,
1|subject_id[108],1.423,0.347,0.777,2.129,0.007,0.005,2536.0,2476.0,2573.0,4535.0,1.0,
1|subject_id[109],0.993,0.289,0.406,1.528,0.007,0.005,1841.0,1841.0,1845.0,3541.0,1.0,
1|subject_id[110],-0.533,0.276,-1.061,0.019,0.007,0.005,1475.0,1475.0,1475.0,4041.0,1.0,
1|subject_id[111],-1.547,0.331,-2.172,-0.873,0.007,0.005,2014.0,2014.0,2009.0,4687.0,1.0,
1|subject_id[112],-1.978,0.363,-2.697,-1.288,0.007,0.005,2676.0,2676.0,2678.0,5177.0,1.0,
1|subject_id[113],1.256,0.333,0.612,1.907,0.007,0.005,2305.0,2305.0,2293.0,4890.0,1.0,
1|subject_id[114],0.486,0.266,-0.048,0.998,0.007,0.005,1491.0,1491.0,1489.0,3612.0,1.0,
1|subject_id[115],-0.489,0.267,-1.006,0.037,0.007,0.005,1399.0,1399.0,1394.0,3912.0,1.0,
1|subject_id[116],-0.176,0.238,-0.642,0.28,0.007,0.005,1117.0,1117.0,1115.0,2992.0,1.0,
1|subject_id[117],-0.583,0.264,-1.117,-0.075,0.007,0.005,1339.0,1339.0,1336.0,3144.0,1.0,
1|subject_id[118],-0.613,0.262,-1.122,-0.098,0.008,0.005,1216.0,1216.0,1214.0,3283.0,1.0,
1|subject_id[119],-1.366,0.314,-2.014,-0.779,0.007,0.005,1891.0,1891.0,1877.0,3667.0,1.0,
1|subject_id[120],1.315,0.31,0.724,1.948,0.007,0.005,1916.0,1916.0,1907.0,3853.0,1.0,
1|subject_id[121],-0.679,0.285,-1.243,-0.13,0.007,0.005,1603.0,1603.0,1602.0,3817.0,1.0,
1|subject_id[122],-1.274,0.244,-1.724,-0.784,0.007,0.005,1106.0,1106.0,1106.0,3087.0,1.0,
1|subject_id[123],1.004,0.296,0.457,1.621,0.007,0.005,1718.0,1718.0,1706.0,4188.0,1.0,
1|subject_id[124],-3.218,0.418,-4.056,-2.432,0.007,0.005,3263.0,3263.0,3284.0,5904.0,1.0,
1|subject_id[125],-4.763,0.714,-6.247,-3.467,0.009,0.007,5680.0,5494.0,5909.0,5339.0,1.0,
1|subject_id[126],-0.627,0.256,-1.108,-0.107,0.007,0.005,1338.0,1338.0,1334.0,3583.0,1.0,
1|subject_id[127],1.4,0.297,0.835,2.0,0.007,0.005,1904.0,1904.0,1900.0,3816.0,1.0,
1|subject_id[128],1.073,0.277,0.513,1.591,0.007,0.005,1524.0,1524.0,1523.0,3781.0,1.0,
1|subject_id[129],-0.312,0.291,-0.879,0.243,0.007,0.005,1677.0,1677.0,1681.0,4517.0,1.0,
1|subject_id[130],-0.911,0.276,-1.477,-0.392,0.007,0.005,1471.0,1471.0,1465.0,3403.0,1.0,
1|subject_id[131],-0.94,0.281,-1.515,-0.411,0.007,0.005,1649.0,1649.0,1648.0,3845.0,1.0,
1|subject_id[132],-0.317,0.291,-0.876,0.262,0.007,0.005,1591.0,1591.0,1592.0,4168.0,1.0,
1|subject_id[133],0.808,0.285,0.255,1.379,0.007,0.005,1584.0,1584.0,1579.0,3731.0,1.0,
1|subject_id[134],0.479,0.27,-0.025,1.023,0.007,0.005,1539.0,1539.0,1543.0,4109.0,1.0,
1|subject_id[135],0.549,0.262,0.03,1.059,0.007,0.005,1335.0,1335.0,1336.0,3304.0,1.0,
1|subject_id[136],2.512,0.409,1.726,3.293,0.007,0.005,3394.0,3394.0,3399.0,5764.0,1.0,
