,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
delta_ev_z|subject_id[37],1.086,0.557,0.073,2.228,0.008,0.006,4911.0,4538.0,4953.0,4653.0,1.0,
delta_ev_z|subject_id[38],-0.644,0.327,-1.251,0.018,0.005,0.004,3566.0,3566.0,3603.0,4246.0,1.0,
delta_ev_z|subject_id[39],-0.254,0.385,-1.007,0.475,0.006,0.004,3913.0,3913.0,3925.0,5395.0,1.0,
delta_ev_z|subject_id[40],-1.107,0.354,-1.778,-0.392,0.006,0.004,4050.0,4050.0,4074.0,4475.0,1.0,
delta_ev_z|subject_id[41],0.769,0.506,-0.225,1.76,0.007,0.005,5157.0,4511.0,5218.0,5376.0,1.0,
delta_ev_z|subject_id[42],-1.599,0.548,-2.644,-0.515,0.008,0.006,4391.0,4382.0,4374.0,4471.0,1.0,
delta_ev_z|subject_id[43],1.017,0.569,-0.105,2.118,0.009,0.006,4366.0,4077.0,4411.0,4941.0,1.0,
delta_ev_z|subject_id[44],-0.649,0.344,-1.328,0.018,0.006,0.004,3712.0,3712.0,3744.0,4887.0,1.0,
delta_ev_z|subject_id[45],-0.278,0.411,-1.079,0.526,0.007,0.005,3959.0,3959.0,3964.0,4634.0,1.0,
delta_ev_z|subject_id[46],-1.086,0.293,-1.641,-0.496,0.005,0.003,3712.0,3712.0,3751.0,4892.0,1.0,
delta_ev_z|subject_id[47],-1.732,0.439,-2.591,-0.861,0.006,0.005,4604.0,4604.0,4593.0,4243.0,1.0,
delta_ev_z|subject_id[48],0.921,0.524,-0.058,1.977,0.007,0.005,5904.0,5392.0,5967.0,5303.0,1.0,
delta_ev_z|subject_id[49],1.784,0.624,0.565,3.002,0.008,0.006,5515.0,5189.0,5574.0,5458.0,1.0,
delta_ev_z|subject_id[50],0.954,0.556,-0.108,2.073,0.009,0.007,3903.0,3509.0,3996.0,4080.0,1.0,
delta_ev_z|subject_id[51],-1.339,0.362,-2.079,-0.657,0.006,0.004,3368.0,3269.0,3393.0,4249.0,1.0,
delta_ev_z|subject_id[52],1.259,0.565,0.142,2.338,0.009,0.006,3924.0,3919.0,3950.0,5186.0,1.0,
delta_ev_z|subject_id[53],-0.404,0.367,-1.071,0.345,0.005,0.004,5205.0,5205.0,5284.0,5412.0,1.0,
delta_ev_z|subject_id[54],-0.445,0.358,-1.121,0.269,0.006,0.004,3608.0,3562.0,3568.0,4794.0,1.0,
delta_ev_z|subject_id[55],-0.738,0.32,-1.366,-0.12,0.005,0.004,3555.0,3555.0,3608.0,4783.0,1.0,
delta_ev_z|subject_id[56],0.564,0.485,-0.377,1.506,0.007,0.005,4530.0,4368.0,4496.0,4663.0,1.0,
delta_ev_z|subject_id[57],0.068,0.426,-0.778,0.866,0.007,0.005,4110.0,3859.0,4148.0,5058.0,1.0,
delta_ev_z|subject_id[58],-0.054,0.41,-0.852,0.759,0.006,0.005,4520.0,3282.0,4608.0,4817.0,1.0,
delta_ev_z|subject_id[59],1.682,0.613,0.506,2.868,0.008,0.006,6114.0,5472.0,6206.0,5709.0,1.0,
delta_ev_z|subject_id[60],0.375,0.454,-0.489,1.284,0.007,0.005,4534.0,4080.0,4556.0,4946.0,1.0,
delta_ev_z|subject_id[61],-1.006,0.283,-1.556,-0.472,0.005,0.004,3244.0,3242.0,3236.0,4570.0,1.0,
delta_ev_z|subject_id[62],-1.451,0.368,-2.199,-0.765,0.006,0.004,3849.0,3849.0,3861.0,4540.0,1.0,
delta_ev_z|subject_id[63],0.624,0.496,-0.329,1.616,0.007,0.005,5016.0,4371.0,5031.0,4518.0,1.0,
delta_ev_z|subject_id[64],1.291,0.568,0.228,2.45,0.008,0.006,5715.0,4803.0,5868.0,4277.0,1.0,
delta_ev_z|subject_id[65],2.07,0.677,0.76,3.361,0.011,0.008,3511.0,3207.0,3604.0,4106.0,1.0,
delta_ev_z|subject_id[66],-0.781,0.313,-1.375,-0.154,0.005,0.003,4490.0,4490.0,4500.0,5405.0,1.0,
delta_ev_z|subject_id[67],-0.135,0.401,-0.884,0.669,0.007,0.005,3769.0,3703.0,3876.0,4006.0,1.0,
delta_ev_z|subject_id[68],-1.293,0.252,-1.798,-0.81,0.004,0.003,3174.0,3174.0,3183.0,5127.0,1.0,
delta_ev_z|subject_id[69],-1.295,0.272,-1.823,-0.763,0.005,0.003,3124.0,3068.0,3122.0,5176.0,1.0,
delta_ev_z|subject_id[70],-0.502,0.347,-1.174,0.17,0.005,0.004,4375.0,4222.0,4367.0,4802.0,1.0,
delta_ev_z|subject_id[71],-0.644,0.337,-1.286,0.027,0.006,0.004,3730.0,3730.0,3790.0,3653.0,1.0,
delta_ev_z|subject_id[72],2.117,0.653,0.86,3.404,0.009,0.007,5000.0,4666.0,5052.0,5295.0,1.0,
delta_ev_z|subject_id[73],-1.2,0.289,-1.763,-0.629,0.005,0.004,3254.0,3254.0,3285.0,4060.0,1.0,
delta_ev_z|subject_id[74],2.366,0.687,1.052,3.715,0.01,0.007,4859.0,4828.0,4848.0,5234.0,1.0,
delta_ev_z|subject_id[75],0.953,0.541,-0.059,2.051,0.008,0.006,4699.0,4025.0,4836.0,4857.0,1.0,
delta_ev_z|subject_id[76],0.153,0.439,-0.659,1.051,0.006,0.005,4799.0,3442.0,4976.0,4212.0,1.0,
delta_ev_z|subject_id[77],-0.197,0.398,-0.975,0.575,0.006,0.004,4123.0,4123.0,4169.0,5234.0,1.0,
delta_ev_z|subject_id[78],-1.417,0.333,-2.054,-0.759,0.005,0.003,4736.0,4600.0,4732.0,4720.0,1.0,
delta_ev_z|subject_id[79],-1.56,0.486,-2.516,-0.608,0.006,0.005,5639.0,5225.0,5691.0,5333.0,1.0,
delta_ev_z|subject_id[80],-0.43,0.356,-1.147,0.23,0.006,0.004,4065.0,4065.0,4089.0,4548.0,1.0,
delta_ev_z|subject_id[81],1.309,0.578,0.204,2.445,0.008,0.006,5277.0,4810.0,5357.0,4960.0,1.0,
delta_ev_z|subject_id[82],-1.145,0.277,-1.699,-0.618,0.005,0.003,3716.0,3591.0,3692.0,4845.0,1.0,
delta_ev_z|subject_id[83],-0.021,0.427,-0.836,0.829,0.006,0.005,4812.0,4129.0,4663.0,5523.0,1.0,
delta_ev_z|subject_id[84],-1.055,0.279,-1.57,-0.48,0.005,0.003,3649.0,3649.0,3671.0,4492.0,1.0,
delta_ev_z|subject_id[85],-0.657,0.332,-1.276,0.012,0.005,0.004,4125.0,4125.0,4215.0,4380.0,1.0,
delta_ev_z|subject_id[86],0.719,0.503,-0.29,1.67,0.006,0.005,6083.0,5372.0,6176.0,5621.0,1.0,
delta_ev_z|subject_id[87],0.028,0.431,-0.78,0.9,0.007,0.005,4303.0,4271.0,4453.0,4869.0,1.0,
delta_ev_z|subject_id[88],0.88,0.532,-0.104,1.969,0.007,0.005,5741.0,4772.0,5871.0,4989.0,1.0,
delta_ev_z|subject_id[89],0.088,0.43,-0.694,0.993,0.007,0.005,4370.0,3399.0,4403.0,3801.0,1.0,
delta_ev_z|subject_id[90],0.591,0.49,-0.353,1.55,0.006,0.005,5713.0,4672.0,5811.0,5837.0,1.0,
delta_ev_z|subject_id[91],-0.18,0.388,-0.939,0.572,0.005,0.004,5126.0,4646.0,5136.0,5432.0,1.0,
delta_ev_z|subject_id[92],-0.307,0.378,-1.047,0.415,0.006,0.004,4324.0,4324.0,4442.0,4613.0,1.0,
delta_ev_z|subject_id[93],-2.087,0.409,-2.851,-1.262,0.006,0.004,4327.0,4288.0,4349.0,5254.0,1.0,
delta_ev_z|subject_id[94],1.365,0.584,0.305,2.582,0.008,0.006,5053.0,4317.0,5294.0,4588.0,1.0,
delta_ev_z|subject_id[95],-0.132,0.399,-0.869,0.675,0.006,0.004,5038.0,4329.0,4983.0,5631.0,1.0,
delta_ev_z|subject_id[96],-0.033,0.426,-0.898,0.764,0.006,0.005,5499.0,3088.0,5586.0,4777.0,1.0,
delta_ev_z|subject_id[97],2.103,0.664,0.841,3.421,0.01,0.007,4413.0,4064.0,4490.0,4478.0,1.0,
delta_ev_z|subject_id[98],-1.016,0.309,-1.59,-0.386,0.005,0.004,3470.0,3414.0,3447.0,4889.0,1.0,
delta_ev_z|subject_id[99],-1.821,0.232,-2.266,-1.364,0.005,0.003,2423.0,2423.0,2424.0,4241.0,1.0,
delta_ev_z|subject_id[100],-0.662,0.336,-1.309,-0.003,0.005,0.004,3890.0,3890.0,3969.0,4475.0,1.0,
delta_ev_z|subject_id[101],-1.579,0.423,-2.451,-0.787,0.006,0.004,4539.0,4539.0,4539.0,5415.0,1.0,
delta_ev_z|subject_id[102],0.116,0.451,-0.737,0.997,0.007,0.005,3846.0,3846.0,3881.0,5360.0,1.0,
delta_ev_z|subject_id[103],1.503,0.608,0.332,2.735,0.008,0.006,5361.0,4873.0,5413.0,4581.0,1.0,
delta_ev_z|subject_id[104],-1.291,0.285,-1.847,-0.734,0.005,0.004,2997.0,2997.0,3027.0,3921.0,1.0,
delta_ev_z|subject_id[105],1.506,0.59,0.396,2.684,0.007,0.006,6249.0,5596.0,6354.0,5468.0,1.0,
delta_ev_z|subject_id[106],3.375,0.789,1.916,4.998,0.012,0.008,4650.0,4534.0,4695.0,4597.0,1.0,
delta_ev_z|subject_id[107],1.706,0.637,0.466,2.964,0.008,0.006,5735.0,5072.0,5860.0,4831.0,1.0,
delta_ev_z|subject_id[108],0.7,0.535,-0.315,1.771,0.007,0.005,6217.0,5280.0,6241.0,5438.0,1.0,
delta_ev_z|subject_id[109],-0.097,0.407,-0.88,0.683,0.005,0.005,5756.0,3436.0,6008.0,4923.0,1.0,
delta_ev_z|subject_id[110],0.678,0.505,-0.28,1.662,0.007,0.005,4828.0,4457.0,4880.0,5128.0,1.0,
delta_ev_z|subject_id[111],1.449,0.596,0.28,2.579,0.01,0.007,3525.0,3413.0,3567.0,4126.0,1.0,
delta_ev_z|subject_id[112],1.857,0.65,0.64,3.172,0.011,0.008,3571.0,3353.0,3638.0,4322.0,1.0,
delta_ev_z|subject_id[113],0.837,0.555,-0.239,1.914,0.007,0.006,5570.0,4669.0,5708.0,5511.0,1.0,
delta_ev_z|subject_id[114],-0.096,0.4,-0.847,0.702,0.005,0.004,5628.0,4211.0,5670.0,5575.0,1.0,
delta_ev_z|subject_id[115],0.454,0.474,-0.459,1.402,0.007,0.005,4649.0,3915.0,4788.0,4519.0,1.0,
delta_ev_z|subject_id[116],-0.705,0.325,-1.312,-0.044,0.005,0.004,3670.0,3670.0,3710.0,4277.0,1.0,
delta_ev_z|subject_id[117],0.248,0.452,-0.623,1.131,0.007,0.005,4423.0,3687.0,4506.0,4205.0,1.0,
delta_ev_z|subject_id[118],0.154,0.45,-0.725,1.015,0.006,0.005,5100.0,4165.0,5192.0,5433.0,1.0,
delta_ev_z|subject_id[119],1.045,0.557,-0.042,2.151,0.008,0.006,4911.0,4751.0,4962.0,5226.0,1.0,
