,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
last_stage_favours_fx:by_attribute_fx|subject_id[0],-0.207,0.608,-1.516,0.962,0.012,0.012,2686.0,1241.0,2689.0,1519.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[1],0.551,0.698,-0.585,2.053,0.018,0.014,1472.0,1273.0,1565.0,1405.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[2],0.87,0.831,-0.456,2.564,0.026,0.018,1027.0,1027.0,1044.0,1478.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[3],0.904,0.989,-0.797,2.868,0.031,0.022,1015.0,1015.0,1112.0,1308.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[4],-0.591,0.678,-1.969,0.613,0.017,0.012,1661.0,1661.0,1622.0,1759.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[5],-0.141,0.679,-1.514,1.287,0.015,0.014,2125.0,1109.0,2069.0,1539.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[6],-0.36,0.641,-1.742,0.85,0.014,0.014,1987.0,1029.0,1999.0,1503.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[7],-0.866,0.691,-2.145,0.409,0.021,0.015,1126.0,1126.0,1010.0,1578.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[8],-0.127,0.658,-1.454,1.173,0.014,0.015,2209.0,1020.0,2188.0,1384.0,1.01
last_stage_favours_fx:by_attribute_fx|subject_id[9],0.391,0.605,-0.666,1.676,0.014,0.013,1988.0,1120.0,2117.0,1425.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[10],0.066,0.688,-1.421,1.424,0.015,0.019,2237.0,624.0,2289.0,1493.0,1.01
last_stage_favours_fx:by_attribute_fx|subject_id[11],-0.1,0.633,-1.41,1.117,0.013,0.014,2536.0,983.0,2500.0,1599.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[12],-0.643,0.759,-2.137,0.745,0.02,0.015,1409.0,1364.0,1501.0,1387.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[13],0.52,0.659,-0.682,1.887,0.018,0.013,1409.0,1249.0,1440.0,1404.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[14],0.041,0.625,-1.406,1.21,0.012,0.015,2615.0,898.0,2611.0,1401.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[15],0.905,0.806,-0.365,2.683,0.025,0.018,1048.0,1048.0,968.0,1068.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[16],0.187,0.6,-1.096,1.36,0.012,0.012,2455.0,1166.0,2417.0,1630.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[17],-0.243,0.621,-1.492,0.943,0.013,0.013,2274.0,1174.0,2288.0,1421.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[18],-0.427,0.647,-1.85,0.735,0.014,0.012,2132.0,1430.0,2166.0,1608.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id[19],-0.752,0.915,-2.743,0.776,0.026,0.019,1219.0,1219.0,1185.0,1484.0,1.0
