,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
226,,,9.7345,0.0092,0.9923,128.9387,BIC,TwoStageBetween,125,0.6798,1.0
227,0.4675,0.7814,12.2377,0.0031,0.99,128.0949,BIC,TwoStageWithin,125,,
228,,,11.6322,0.0038,1.1296,122.2981,BIC,TwoStageBetween,126,0.6289,1.0
229,0.5763,0.8043,14.1498,0.0157,1.1388,126.1089,BIC,TwoStageWithin,126,,
230,,,9.4199,0.0011,1.0046,218.8427,BIC,TwoStageBetween,127,0.5302,0.7899
231,0.8202,0.7037,12.0176,0.0112,0.9928,213.589,BIC,TwoStageWithin,127,,
232,,,8.7364,-0.0384,1.2795,404.8365,BIC,TwoStageBetween,128,0.5954,0.4307
233,0.6494,1.0,7.3223,0.031,1.2759,402.346,BIC,TwoStageWithin,128,,
234,,,8.5431,0.0068,0.9885,230.3604,BIC,TwoStageBetween,129,0.5289,0.9787
235,0.8841,0.5611,11.9966,0.0142,1.0064,238.8918,BIC,TwoStageWithin,129,,
236,,,21.6274,-0.0194,1.7479,8.7933,BIC,TwoStageBetween,131,0.5002,1.0
237,1.0014,0.6897,30.0,0.0043,1.7484,8.9903,BIC,TwoStageWithin,131,,
238,,,7.3453,0.029,0.9769,257.4097,BIC,TwoStageBetween,132,0.4436,0.5984
239,1.0656,0.7624,10.5069,0.0103,0.9629,250.4861,BIC,TwoStageWithin,132,,
240,,,20.6981,0.0003,1.5365,137.9201,BIC,TwoStageBetween,133,0.6659,0.6
241,0.4084,0.5448,20.9666,0.0044,1.5405,140.1441,BIC,TwoStageWithin,133,,
242,,,11.2987,-0.0094,1.1151,158.272,BIC,TwoStageBetween,134,0.5494,0.8052
243,0.7463,0.8444,13.1405,0.0044,1.1049,154.244,BIC,TwoStageWithin,134,,
244,,,3.389,0.1121,1.1094,259.6461,BIC,TwoStageBetween,135,0.2103,1.0
245,2.1628,0.8779,8.8352,0.0108,1.1266,269.1307,BIC,TwoStageWithin,135,,
246,,,10.0995,0.0042,1.1102,123.3207,BIC,TwoStageBetween,136,0.6986,1.0
247,0.4667,1.0,11.6547,-0.003,1.1251,129.0201,BIC,TwoStageWithin,136,,
248,,,10.9355,0.0081,1.4451,92.0748,BIC,TwoStageBetween,137,0.0,0.2427
249,3.43,0.5632,30.0,0.0103,1.5146,125.6807,BIC,TwoStageWithin,137,,
250,,,4.1964,0.0422,0.708,185.7281,BIC,TwoStageBetween,138,0.0,0.6248
251,2.8268,0.4092,13.5749,0.0081,0.8964,273.6549,BIC,TwoStageWithin,138,,
252,,,4.9587,-0.0098,0.8516,409.0162,BIC,TwoStageBetween,139,0.5282,1.0
253,0.8341,1.0,5.6006,0.0145,0.8582,414.2505,BIC,TwoStageWithin,139,,
254,,,11.2165,-0.0026,1.0889,101.0646,BIC,TwoStageBetween,140,0.8034,0.5385
255,0.2147,1.0,8.6449,0.0447,1.1136,110.1854,BIC,TwoStageWithin,140,,
256,,,14.6661,-0.0215,1.4885,37.9611,BIC,TwoStageBetween,141,0.694,1.0
257,0.3549,1.0,14.926,0.0017,1.4736,32.5911,BIC,TwoStageWithin,141,,
258,,,14.7004,-0.0014,1.2415,70.8866,BIC,TwoStageBetween,142,0.5607,1.0
259,0.7067,1.0,17.5721,0.0199,1.2076,59.6752,BIC,TwoStageWithin,142,,
260,,,6.8957,0.0263,1.021,238.4798,BIC,TwoStageBetween,143,0.4925,1.0
261,0.9984,1.0,9.0295,0.0482,1.0008,229.2794,BIC,TwoStageWithin,143,,
262,,,24.1952,-0.0282,1.8643,123.2587,BIC,TwoStageBetween,144,0.401,0.3588
263,1.1885,1.0,28.9291,-0.0051,1.8467,112.4571,BIC,TwoStageWithin,144,,
264,,,12.4473,0.006,1.2296,126.3206,BIC,TwoStageBetween,145,0.5755,0.9741
265,0.6406,1.0,13.6347,0.032,1.2118,119.011,BIC,TwoStageWithin,145,,
266,,,10.7996,-0.0006,1.1257,126.9911,BIC,TwoStageBetween,146,0.6655,1.0
267,0.4846,1.0,12.0292,0.0183,1.1176,123.7299,BIC,TwoStageWithin,146,,
268,,,16.2568,0.033,1.8013,268.581,BIC,TwoStageBetween,147,0.6402,1.0
269,0.5424,0.7339,22.3246,0.0014,1.7952,265.3308,BIC,TwoStageWithin,147,,
270,,,12.6024,-0.0516,1.3196,85.5533,BIC,TwoStageBetween,148,0.6653,1.0
271,0.4361,1.0,13.2539,0.0194,1.3022,79.0448,BIC,TwoStageWithin,148,,
272,,,9.9977,0.0399,1.4702,-18.2254,BIC,TwoStageBetween,149,1.0,1.0
273,0.0,0.8806,11.3331,0.0148,1.4904,-10.0708,BIC,TwoStageWithin,149,,
274,,,10.4955,0.0214,1.3759,280.6895,BIC,TwoStageBetween,150,0.4647,0.4303
275,1.1067,1.0,10.1225,0.0503,1.3724,278.2603,BIC,TwoStageWithin,150,,
276,,,12.0958,-0.0031,1.1236,118.0718,BIC,TwoStageBetween,151,0.6555,0.7136
277,0.5354,1.0,11.9353,0.02,1.1117,113.6172,BIC,TwoStageWithin,151,,
278,,,12.2239,0.0189,1.1355,128.748,BIC,TwoStageBetween,153,0.4786,1.0
279,1.0862,1.0,15.3557,0.0152,1.167,141.0694,BIC,TwoStageWithin,153,,
