,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta,w_between_altwise,w_between_attwise
126,0.4052,0.4298,20.5558,-0.0463,1.3914,134.5091,BIC,TwoStageBetween,4-TwoStageBetween,,,,
127,0.3758,0.1051,30.0,-0.0224,1.3771,146.6591,BIC,TwoStageMixtureNoScaling,4-TwoStageBetween,1.2154,0.224,1.0,0.2577
128,,,21.0138,-0.0111,1.4269,153.7785,BIC,TwoStageWithin,4-TwoStageBetween,1.4823,0.8999,,
129,0.4218,0.7641,15.3792,-0.0704,1.5757,113.9169,BIC,TwoStageBetween,4-TwoStageMixtureNoScaling,,,,
130,0.5158,0.5586,30.0,-0.0163,1.5725,132.0143,BIC,TwoStageMixtureNoScaling,4-TwoStageMixtureNoScaling,2.1403,0.339,0.457,0.265
131,,,26.0385,0.0058,1.5894,121.1408,BIC,TwoStageWithin,4-TwoStageMixtureNoScaling,1.4793,0.5146,,
132,0.4912,0.9171,12.2779,0.0373,1.5438,141.7469,BIC,TwoStageBetween,4-TwoStageWithin,,,,
133,0.9698,0.0,26.184,0.0263,1.5159,146.8994,BIC,TwoStageMixtureNoScaling,4-TwoStageWithin,1.3104,0.2909,0.1009,0.0931
134,,,22.8415,0.0364,1.5214,129.9825,BIC,TwoStageWithin,4-TwoStageWithin,1.0804,0.3792,,
135,0.6645,0.1151,18.6635,-0.001,1.1567,230.1956,BIC,TwoStageBetween,5-TwoStageBetween,,,,
136,0.7439,0.0,20.527,0.001,1.1507,246.0395,BIC,TwoStageMixtureNoScaling,5-TwoStageBetween,1.617,1.0,0.8818,0.7194
137,,,10.6495,0.007,1.179,245.0336,BIC,TwoStageWithin,5-TwoStageBetween,0.4648,0.948,,
138,0.6719,0.6215,10.9046,-0.0138,1.0707,234.5172,BIC,TwoStageBetween,5-TwoStageMixtureNoScaling,,,,
139,0.684,0.4684,14.9795,-0.0017,1.0594,247.4877,BIC,TwoStageMixtureNoScaling,5-TwoStageMixtureNoScaling,0.4966,0.0,0.9283,0.181
140,,,9.5106,0.0159,1.0764,238.0037,BIC,TwoStageWithin,5-TwoStageMixtureNoScaling,0.4352,0.8571,,
141,0.6565,1.0,9.6183,0.0206,1.1406,231.0873,BIC,TwoStageBetween,5-TwoStageWithin,,,,
142,0.0,1.0,12.423,0.0268,1.1119,232.7923,BIC,TwoStageMixtureNoScaling,5-TwoStageWithin,0.3934,0.7814,0.0455,0.0473
143,,,12.6647,0.0295,1.117,216.198,BIC,TwoStageWithin,5-TwoStageWithin,0.4613,0.7727,,
144,0.5629,0.3474,6.6386,0.0032,1.1086,342.3895,BIC,TwoStageBetween,6-TwoStageBetween,,,,
145,0.5973,0.0,8.6436,-0.0145,1.0972,353.6283,BIC,TwoStageMixtureNoScaling,6-TwoStageBetween,0.9932,1.0,1.0,0.0198
