,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
115,0.9729,,10.071,,1.0378,108.8026,BIC,TwoStageWithin,127-attributes,,
116,,,7.5376,,1.3518,145.6001,BIC,TwoStageBetween,128-alternatives,0.5722,
117,0.7317,1.0,10.5838,0.0158,1.3312,147.3422,BIC,TwoStageWithin,128-alternatives,,
118,,,7.5022,-0.0394,1.2077,264.3842,BIC,TwoStageBetween,128-attributes,0.621,0.3704
119,0.5565,,5.1697,,1.2149,258.4856,BIC,TwoStageWithin,128-attributes,,
120,,,9.1257,,0.9847,106.5345,BIC,TwoStageBetween,129-alternatives,0.5177,
121,0.9088,0.5648,12.567,0.0135,1.0071,119.9009,BIC,TwoStageWithin,129-alternatives,,
122,,,7.8838,0.0076,0.9884,132.2704,BIC,TwoStageBetween,129-attributes,0.5398,0.9983
123,0.8574,,8.9392,,1.005,128.053,BIC,TwoStageWithin,129-attributes,,
124,,,8.0307,,1.2467,93.4559,BIC,TwoStageBetween,13-alternatives,0.3706,
125,2.3468,0.4068,17.1595,0.0302,1.2326,98.5482,BIC,TwoStageWithin,13-alternatives,,
126,,,9.2786,0.059,1.2315,111.4421,BIC,TwoStageBetween,13-attributes,0.5199,0.5174
127,0.8705,,7.1125,,1.2922,118.2856,BIC,TwoStageWithin,13-attributes,,
128,,,25.8216,,1.8393,-14.9496,BIC,TwoStageBetween,131-alternatives,0.4988,
129,1.015,0.7181,30.0,0.004,1.8546,-3.1241,BIC,TwoStageWithin,131-alternatives,,
130,,,18.5875,-0.0185,1.6583,28.914,BIC,TwoStageBetween,131-attributes,0.5028,1.0
131,0.9881,,24.7458,,1.6515,18.9165,BIC,TwoStageWithin,131-attributes,,
132,,,7.705,,0.9901,118.5847,BIC,TwoStageBetween,132-alternatives,0.4769,
133,0.9572,0.7714,11.1994,0.0078,0.984,125.6183,BIC,TwoStageWithin,132-alternatives,,
134,,,6.0564,0.0463,0.9468,143.3796,BIC,TwoStageBetween,132-attributes,0.3986,0.505
135,1.1801,,9.0534,,0.9359,132.1427,BIC,TwoStageWithin,132-attributes,,
136,,,16.2425,,1.4942,85.1008,BIC,TwoStageBetween,133-alternatives,0.6523,
137,0.4654,0.547,23.4754,0.0053,1.479,88.9343,BIC,TwoStageWithin,133-alternatives,,
138,,,20.7238,0.0006,1.5844,60.5766,BIC,TwoStageBetween,133-attributes,0.6824,0.6283
139,0.3242,,14.0855,,1.6046,57.1966,BIC,TwoStageWithin,133-attributes,,
140,,,10.8987,,1.0679,84.0609,BIC,TwoStageBetween,134-alternatives,0.55,
141,0.7772,0.8316,13.6126,0.0045,1.075,94.0595,BIC,TwoStageWithin,134-alternatives,,
142,,,10.7277,-0.0078,1.1655,82.2616,BIC,TwoStageBetween,134-attributes,0.5475,0.7839
143,0.7142,,11.8454,,1.1384,68.8723,BIC,TwoStageWithin,134-attributes,,
144,,,4.128,,1.084,139.6375,BIC,TwoStageBetween,135-alternatives,0.2475,
145,2.9349,0.9496,9.9961,0.0116,1.088,149.2795,BIC,TwoStageWithin,135-alternatives,,
146,,,2.7268,0.1493,1.1348,128.2367,BIC,TwoStageBetween,135-attributes,0.1687,1.0
147,1.8026,,7.4387,,1.1624,126.8854,BIC,TwoStageWithin,135-attributes,,
148,,,11.6587,,1.1363,72.457,BIC,TwoStageBetween,136-alternatives,0.6437,
149,0.5687,1.0,12.9868,-0.0026,1.1586,85.6168,BIC,TwoStageWithin,136-alternatives,,
150,,,8.818,0.0089,1.0521,55.1953,BIC,TwoStageBetween,136-attributes,0.7685,1.0
151,0.376,,10.8267,,1.0641,48.7694,BIC,TwoStageWithin,136-attributes,,
152,,,6.1242,,1.3668,49.8145,BIC,TwoStageBetween,137-alternatives,0.0,
153,4.442,0.5792,30.0,0.012,1.4287,73.2643,BIC,TwoStageWithin,137-alternatives,,
154,,,12.2556,0.0048,1.5168,48.2347,BIC,TwoStageBetween,137-attributes,0.0,0.2448
155,2.9482,,27.1678,,1.5845,55.8523,BIC,TwoStageWithin,137-attributes,,
156,,,3.6344,,0.7131,91.5787,BIC,TwoStageBetween,138-alternatives,0.0,
157,2.6806,0.4502,13.9616,0.0073,0.8953,143.2478,BIC,TwoStageWithin,138-alternatives,,
158,,,3.9387,0.0449,0.6979,102.3229,BIC,TwoStageBetween,138-attributes,0.0,0.632
159,2.9561,,9.1562,,0.8955,139.1437,BIC,TwoStageWithin,138-attributes,,
160,,,4.5763,,0.799,194.1431,BIC,TwoStageBetween,139-alternatives,0.547,
161,0.713,1.0,4.6659,0.0204,0.8117,207.2437,BIC,TwoStageWithin,139-alternatives,,
162,,,5.3752,-0.0121,0.8959,221.0125,BIC,TwoStageBetween,139-attributes,0.514,1.0
163,0.9431,,6.6269,,0.8941,211.818,BIC,TwoStageWithin,139-attributes,,
164,,,16.506,,1.1652,39.0614,BIC,TwoStageBetween,14-alternatives,0.5576,
165,0.7241,1.0,19.9001,0.0025,1.1365,42.4383,BIC,TwoStageWithin,14-alternatives,,
166,,,14.3049,0.009,1.2375,70.3932,BIC,TwoStageBetween,14-attributes,0.569,0.7224
167,0.7263,,15.2301,,1.2113,56.4722,BIC,TwoStageWithin,14-attributes,,
168,,,8.0383,,1.1109,53.2106,BIC,TwoStageBetween,140-alternatives,0.853,
169,0.1358,1.0,8.1145,0.0497,1.112,61.9147,BIC,TwoStageWithin,140-alternatives,,
170,,,11.8065,-0.0033,1.0533,55.5117,BIC,TwoStageBetween,140-attributes,0.76,0.5521
171,0.3102,,9.3453,,1.1002,54.9066,BIC,TwoStageWithin,140-attributes,,
172,,,14.1581,,1.5916,21.1277,BIC,TwoStageBetween,141-alternatives,0.694,
173,0.3184,1.0,13.1743,0.0037,1.5848,28.3731,BIC,TwoStageWithin,141-alternatives,,
174,,,15.154,-0.0217,1.378,23.2003,BIC,TwoStageBetween,141-attributes,0.6945,1.0
175,0.384,,16.631,,1.3475,9.3028,BIC,TwoStageWithin,141-attributes,,
176,,,13.7867,,1.3204,43.0051,BIC,TwoStageBetween,142-alternatives,0.5564,
